date,high,low,close
2016-09-26,810.080017,800.450012,802.650024
2016-09-27,813.489990,801.830017,810.729980
2016-09-28,810.250000,802.780029,810.059998
2016-09-29,813.909973,800.859985,802.640015
2016-09-30,808.090027,801.500000,804.059998
2016-10-03,803.539978,796.229980,800.380005
2016-10-04,806.500000,799.669983,802.789978
2016-10-05,808.500000,800.710022,801.229980
2016-10-06,806.950012,800.510010,803.080017
2016-10-07,805.940002,796.820007,800.710022
2016-10-10,817.380005,802.239990,814.169983
2016-10-11,819.859985,807.369995,809.570007
2016-10-12,814.500000,808.549988,811.770020
2016-10-13,806.559998,798.619995,804.080017
2016-10-14,810.090027,802.320007,804.599976
2016-10-17,813.489990,803.830017,806.840027
2016-10-18,828.809998,813.330017,821.489990
2016-10-19,829.799988,822.880005,826.840027
2016-10-20,828.469971,820.549988,821.630005
2016-10-21,824.289978,818.309998,824.059998
2016-10-24,837.940002,829.039978,835.739990
2016-10-25,838.500000,825.299988,828.549988
2016-10-26,827.710022,816.349976,822.099976
2016-10-27,826.580017,814.609985,817.349976
2016-10-28,839.000000,817.000000,819.559998
2016-10-31,822.630005,808.000000,809.900024
2016-11-01,813.960022,798.260010,805.479980
2016-11-02,806.760010,785.000000,788.419983
2016-11-03,790.000000,778.630005,782.190002
2016-11-04,788.479980,771.000000,781.099976
2016-11-07,805.000000,792.900024,802.030029
2016-11-08,816.039978,799.619995,811.979980
2016-11-09,811.710022,792.039978,805.590027
2016-11-10,810.059998,768.229980,780.289978
2016-11-11,777.289978,765.539978,771.750000
2016-11-14,771.780029,743.590027,753.219971
2016-11-15,780.239990,765.219971,775.159973
2016-11-16,783.500000,766.330017,779.979980
2016-11-17,788.900024,779.849976,786.159973
2016-11-18,791.289978,775.349976,775.969971
2016-11-21,786.549988,776.299988,784.799988
2016-11-22,793.770020,783.739990,785.000000
2016-11-23,789.520020,772.650024,779.000000
2016-11-25,782.900024,778.190002,780.229980
2016-11-28,799.739990,778.099976,785.789978
2016-11-29,796.440002,785.340027,789.440002
2016-11-30,791.510010,773.150024,775.880005
2016-12-01,778.599976,753.359985,764.330017
2016-12-02,770.500000,759.000000,764.460022
2016-12-05,780.000000,766.969971,778.219971
2016-12-06,785.280029,773.320007,776.179993
2016-12-07,792.000000,773.530029,791.469971
2016-12-08,799.000000,787.909973,795.169983
2016-12-09,809.950012,798.049988,809.450012
2016-12-12,811.349976,804.530029,807.900024
2016-12-13,824.299988,811.940002,815.340027
2016-12-14,824.260010,812.780029,817.890015
2016-12-15,823.000000,812.000000,815.650024
2016-12-16,819.200012,808.119995,809.840027
2016-12-19,816.219971,804.500000,812.500000
2016-12-20,816.489990,811.000000,815.200012
2016-12-21,815.719971,805.099976,812.200012
2016-12-22,811.070007,806.030029,809.679993
2016-12-23,810.969971,805.109985,807.799988
2016-12-27,816.000000,805.799988,809.929993
2016-12-28,813.330017,802.440002,804.570007
2016-12-29,805.750000,798.140015,802.880005
2016-12-30,803.289978,789.619995,792.450012
2017-01-03,811.440002,796.890015,808.010010
2017-01-04,813.429993,804.109985,807.770020
2017-01-05,813.739990,805.919983,813.020020
2017-01-06,828.960022,811.500000,825.210022
2017-01-09,830.429993,821.619995,827.179993
2017-01-10,829.409973,823.140015,826.010010
2017-01-11,829.900024,821.469971,829.859985
2017-01-12,830.380005,821.010010,829.530029
2017-01-13,834.650024,829.520020,830.940002
2017-01-17,830.179993,823.200012,827.460022
2017-01-18,829.809998,824.080017,829.020020
2017-01-19,833.000000,823.960022,824.369995
2017-01-20,829.239990,824.599976,828.169983
2017-01-23,845.539978,828.700012,844.429993
2017-01-24,851.520020,842.280029,849.530029
2017-01-25,858.789978,849.739990,858.450012
2017-01-26,861.000000,850.520020,856.979980
2017-01-27,867.000000,841.900024,845.030029
2017-01-30,837.229980,821.030029,823.830017
2017-01-31,823.070007,813.400024,820.190002
2017-02-01,824.000000,812.250000,815.239990
2017-02-02,824.559998,812.049988,818.260010
2017-02-03,826.130005,819.349976,820.130005
2017-02-06,822.390015,814.289978,821.619995
2017-02-07,831.919983,823.289978,829.229980
2017-02-08,834.250000,825.109985,829.880005
2017-02-09,831.979980,826.500000,830.059998
2017-02-10,837.150024,830.510010,834.849976
2017-02-13,841.739990,836.250000,838.960022
2017-02-14,842.000000,835.830017,840.030029
2017-02-15,841.770020,836.219971,837.320007
2017-02-16,842.690002,837.260010,842.169983
2017-02-17,846.940002,839.780029,846.549988
2017-02-21,852.200012,846.549988,849.270020
2017-02-22,853.789978,846.710022,851.359985
2017-02-23,852.619995,842.500000,851.000000
2017-02-24,848.359985,842.960022,847.809998
2017-02-27,850.669983,843.010010,849.669983
2017-02-28,848.830017,841.440002,844.929993
2017-03-01,858.000000,849.020020,856.750000
2017-03-02,856.489990,848.719971,849.849976
2017-03-03,850.820007,844.710022,849.080017
2017-03-06,848.940002,841.169983,847.270020
2017-03-07,853.330017,845.520020,851.150024
2017-03-08,856.929993,851.250000,853.640015
2017-03-09,860.710022,852.669983,857.840027
2017-03-10,864.229980,857.609985,861.409973
2017-03-13,867.130005,860.820007,864.580017
2017-03-14,867.580017,860.130005,865.909973
2017-03-15,869.880005,861.299988,868.390015
2017-03-16,872.710022,867.520020,870.000000
2017-03-17,874.419983,868.369995,872.369995
2017-03-20,870.340027,864.669983,867.909973
2017-03-21,873.469971,847.690002,850.140015
2017-03-22,855.349976,847.000000,849.799988
2017-03-23,841.690002,833.000000,839.650024
2017-03-24,844.000000,829.099976,835.140015
2017-03-27,841.380005,824.299988,838.510010
2017-03-28,845.400024,832.270020,840.630005
2017-03-29,851.590027,841.380005,849.869995
2017-03-30,852.000000,846.770020,849.479980
2017-03-31,849.559998,845.239990,847.799988
2017-04-03,859.000000,847.530029,856.750000
2017-04-04,853.000000,847.510010,852.570007
2017-04-05,860.590027,847.520020,848.909973
2017-04-06,853.590027,844.000000,845.099976
2017-04-07,845.880005,837.299988,842.099976
2017-04-10,846.739990,840.789978,841.700012
2017-04-11,844.630005,834.599976,839.880005
2017-04-12,843.719971,837.590027,841.460022
2017-04-13,843.729980,837.849976,840.179993
2017-04-17,855.640015,841.030029,855.130005
2017-04-18,857.390015,851.250000,853.989990
2017-04-19,860.200012,853.530029,856.510010
2017-04-20,863.929993,857.500000,860.080017
2017-04-21,862.440002,857.729980,858.950012
2017-04-24,879.960022,866.109985,878.929993
2017-04-25,892.250000,879.280029,888.840027
2017-04-26,892.989990,885.150024,889.140015
2017-04-27,893.380005,887.179993,891.440002
2017-04-28,935.900024,923.219971,924.520020
2017-05-01,935.820007,920.799988,932.820007
2017-05-02,942.989990,931.000000,937.090027
2017-05-03,950.200012,935.210022,948.450012
2017-05-04,959.140015,947.369995,954.719971
2017-05-05,958.440002,948.099976,950.280029
2017-05-08,960.989990,947.400024,958.690002
2017-05-09,962.200012,954.400024,956.710022
2017-05-10,956.710022,949.840027,954.840027
2017-05-11,957.989990,948.609985,955.890015
2017-05-12,957.979980,952.059998,955.140015
2017-05-15,962.700012,952.820007,959.219971
2017-05-16,965.900024,960.349976,964.609985
2017-05-17,960.989990,940.059998,942.169983
2017-05-18,954.179993,941.270020,950.500000
2017-05-19,959.559998,952.000000,954.650024
2017-05-22,964.820007,956.559998,964.070007
2017-05-23,974.510010,964.500000,970.549988
2017-05-24,978.119995,971.630005,977.609985
2017-05-25,995.780029,977.820007,991.859985
2017-05-26,996.390015,987.359985,993.270020
2017-05-30,997.619995,991.359985,996.169983
2017-05-31,999.599976,981.679993,987.090027
2017-06-01,993.140015,981.289978,988.289978
2017-06-02,996.479980,987.070007,996.119995
2017-06-05,1007.400024,995.450012,1003.880005
2017-06-06,1008.609985,994.799988,996.679993
2017-06-07,1003.909973,995.869995,1001.500000
2017-06-08,1005.599976,996.619995,1004.280029
2017-06-09,1005.500000,953.369995,970.119995
2017-06-12,968.000000,936.799988,961.809998
2017-06-13,977.909973,962.010010,970.500000
2017-06-14,979.700012,959.510010,967.929993
2017-06-15,960.679993,940.369995,960.179993
2017-06-16,959.950012,948.700012,958.619995
2017-06-19,979.299988,968.200012,975.219971
2017-06-20,980.789978,968.200012,968.989990
2017-06-21,979.549988,969.450012,978.590027
2017-06-22,980.500000,973.309998,976.619995
2017-06-23,986.619995,974.460022,986.090027
2017-06-26,993.989990,970.330017,972.090027
2017-06-27,967.219971,947.090027,948.090027
2017-06-28,963.239990,936.159973,961.010010
2017-06-29,951.659973,929.599976,937.820007
2017-06-30,945.000000,929.609985,929.679993
2017-07-03,934.239990,915.309998,919.460022
2017-07-05,936.289978,918.630005,932.260010
2017-07-06,936.140015,919.849976,927.690002
2017-07-07,944.659973,929.789978,940.809998
